eventId,eventDate,round,distance,fall,gate,wind,speed,stylePoints
2022-women-wc,2022-12-03,first,99.0,0,10,0.18,85.5,55.0
2022-women-wc,2022-12-03,first,97.5,0,10,0.35,84.8,55.5
2022-women-wc,2022-12-03,first,95.0,0,10,0.03,84.5,54.5
2022-women-wc,2022-12-03,first,96.5,0,10,0.29,84.9,51.0
2022-women-wc,2022-12-03,first,95.0,0,10,0.27,85.3,53.5
2022-women-wc,2022-12-03,first,93.0,0,10,0.08,85.3,53.0
2022-women-wc,2022-12-03,first,93.0,0,10,0.28,85.1,54.5
2022-women-wc,2022-12-03,first,94.0,0,10,0.32,84.7,52.5
2022-women-wc,2022-12-03,first,95.5,0,10,0.31,84.7,47.0
2022-women-wc,2022-12-03,first,91.0,0,10,0.36,84.7,54.0
2022-women-wc,2022-12-03,first,92.0,0,10,0.36,84.5,51.0
2022-women-wc,2022-12-03,first,91.0,0,10,0.36,85.0,52.5
2022-women-wc,2022-12-03,first,90.0,0,10,0.10,85.6,51.5
2022-women-wc,2022-12-03,first,89.5,0,10,0.26,84.9,53.0
2022-women-wc,2022-12-03,first,91.0,0,10,0.31,84.5,49.5
2022-women-wc,2022-12-03,first,89.5,0,10,0.32,85.3,52.0
2022-women-wc,2022-12-03,first,89.0,0,10,0.31,84.4,52.5
2022-women-wc,2022-12-03,first,88.0,0,10,0.33,84.2,53.5
2022-women-wc,2022-12-03,first,89.0,0,10,0.40,84.5,51.5
2022-women-wc,2022-12-03,first,88.0,0,10,0.17,85.3,51.5
2022-women-wc,2022-12-03,first,87.5,0,10,0.26,85.0,51.0
2022-women-wc,2022-12-03,first,87.5,0,10,0.35,84.7,50.5
2022-women-wc,2022-12-03,first,87.0,0,10,0.25,84.2,50.5
2022-women-wc,2022-12-03,first,85.5,0,10,-0.03,85.0,51.0
2022-women-wc,2022-12-03,first,87.0,0,10,0.33,84.4,51.0
2022-women-wc,2022-12-03,first,83.5,0,10,0.25,84.9,49.5
2022-women-wc,2022-12-03,first,83.0,0,10,0.31,84.3,49.5
2022-women-wc,2022-12-03,first,82.0,0,10,0.12,84.7,50.0
2022-women-wc,2022-12-03,first,83.0,0,10,0.40,84.5,48.5
2022-women-wc,2022-12-03,first,82.0,0,10,0.41,84.6,50.0
2022-women-wc,2022-12-03,first,81.5,0,10,0.24,84.9,49.5
2022-women-wc,2022-12-03,first,81.5,0,10,0.32,83.9,49.5
2022-women-wc,2022-12-03,first,81.0,0,10,0.23,84.4,48.5
2022-women-wc,2022-12-03,first,81.0,0,10,0.42,85.5,49.5
2022-women-wc,2022-12-03,first,80.0,0,10,0.25,84.5,49.5
2022-women-wc,2022-12-03,first,80.5,0,10,0.32,85.0,49.0
2022-women-wc,2022-12-03,first,79.0,0,10,0.24,84.1,49.0
2022-women-wc,2022-12-03,first,79.5,0,10,0.42,84.3,49.0
2022-women-wc,2022-12-03,first,80.0,0,10,0.34,84.4,47.0
2022-women-wc,2022-12-03,first,76.5,0,10,0.52,84.5,46.5
2023-women-wc,2023-12-02,first,90.5,0,8,0.05,83.7,52.5
2023-women-wc,2023-12-02,final,94.0,0,8,0.27,83.7,54.5
2023-women-wc,2023-12-02,first,92.0,0,8,0.12,83.9,53.0
2023-women-wc,2023-12-02,final,92.5,0,8,0.44,83.5,54.0
2023-women-wc,2023-12-02,first,96.0,0,8,0.06,84.2,53.5
2023-women-wc,2023-12-02,final,88.5,0,8,0.32,84.1,51.0
2023-women-wc,2023-12-02,first,96.0,0,8,0.40,83.5,49.5
2023-women-wc,2023-12-02,final,92.0,0,7,0.40,82.6,50.0
2023-women-wc,2023-12-02,first,90.5,0,8,0.26,84.2,53.0
2023-women-wc,2023-12-02,final,88.0,0,8,0.30,84.1,52.5
2023-women-wc,2023-12-02,first,90.0,0,8,0.15,84.6,51.0
2023-women-wc,2023-12-02,final,88.5,0,8,0.05,84.6,51.5
2023-women-wc,2023-12-02,first,89.0,0,8,0.08,83.4,51.5
2023-women-wc,2023-12-02,final,88.5,0,8,0.15,83.3,52.5
2023-women-wc,2023-12-02,first,89.5,0,8,0.43,84.4,52.0
2023-women-wc,2023-12-02,final,91.0,0,9,0.14,85.0,53.5
2023-women-wc,2023-12-02,first,89.5,0,8,0.18,84.2,51.5
2023-women-wc,2023-12-02,final,87.0,0,8,-0.06,84.0,52.0
2023-women-wc,2023-12-02,first,92.0,0,8,0.19,83.6,46.5
2023-women-wc,2023-12-02,final,86.0,0,8,-0.11,83.7,52.0
2023-women-wc,2023-12-02,first,91.0,0,9,0.18,84.1,52.0
2023-women-wc,2023-12-02,final,88.5,0,9,0.16,83.9,52.5
2023-women-wc,2023-12-02,first,89.0,0,8,0.03,83.7,50.0
2023-women-wc,2023-12-02,final,85.0,0,8,0.27,83.4,49.5
2023-women-wc,2023-12-02,first,87.5,0,8,0.08,83.9,49.0
2023-women-wc,2023-12-02,final,90.0,0,9,0.44,84.2,50.5
2023-women-wc,2023-12-02,first,87.5,0,8,0.59,83.9,51.0
2023-women-wc,2023-12-02,final,90.5,0,9,0.62,84.2,52.5
2023-women-wc,2023-12-02,first,87.5,0,9,-0.06,84.1,51.0
2023-women-wc,2023-12-02,final,90.0,0,9,0.51,83.8,52.5
2023-women-wc,2023-12-02,first,83.5,0,8,0.23,83.7,50.5
2023-women-wc,2023-12-02,final,90.0,0,9,-0.01,84.6,52.0
2023-women-wc,2023-12-02,first,91.5,0,9,0.58,84.2,52.0
2023-women-wc,2023-12-02,final,86.5,0,9,0.38,84.0,52.5
